# 港股核心 50 强（季度 review 一次）
# 格式: 5位代码 名称 板块
# 排除非港股通标的；只保留每个板块前 3-5 名

# ── 互联网平台 ──
00700 腾讯控股 互联网
09988 阿里巴巴 互联网
03690 美团 互联网
09618 京东集团 互联网
09888 百度 互联网
01024 快手 互联网
09626 哔哩哔哩 互联网
09961 携程集团 出行
09898 微博 互联网

# ── 消费电子/半导体 ──
01810 小米集团 消费电子
00981 中芯国际 半导体
09660 地平线机器人 算力
01347 华虹半导体 半导体
00992 联想集团 消费电子

# ── 新能源车 ──
01211 比亚迪 新能源车
02015 理想汽车 新能源车
09866 蔚来 新能源车
09868 小鹏汽车 新能源车
00175 吉利汽车 新能源车
02333 长城汽车 新能源车
03931 极氪 新能源车

# ── 金融/保险 ──
00388 港交所 金融
02318 中国平安 保险
01299 友邦保险 保险
03988 中国银行 银行
03968 招商银行 银行
00939 建设银行 银行
01398 工商银行 银行
01288 农业银行 银行

# ── 能源/资源 ──
00857 中国石油 能源
00386 中国石化 能源
00883 中海油 能源
01088 中国神华 煤炭
01171 兖矿能源 煤炭

# ── 消费/医药 ──
06862 海底捞 消费
09633 农夫山泉 消费
02319 蒙牛乳业 消费
01876 百威亚太 消费
02269 药明生物 医药
01093 石药集团 医药
01177 中国生物制药 医药

# ── 地产/物业 ──
00688 中国海外发展 地产
00960 龙湖集团 地产
02007 碧桂园 地产

# ── 物流/航运 ──
02238 广汽集团 汽车
02382 舜宇光学 消费电子
00027 银河娱乐 消费
01928 金沙中国 消费

# ── 指数参考（用 sina 港股 ETF 代码也行；这里跳过，主 SKILL 仍用 sh000001 等） ──
